Temperature,Humidity,Gas_Analog,Flame_Analog,Label
34.20,80.00,909,4095,0
34.20,78.00,869,4095,0
34.20,78.00,863,4095,0
34.20,78.00,833,4095,0
34.20,78.00,864,4095,0
34.20,78.00,866,4095,0
34.20,78.00,862,4095,0
34.20,78.00,829,4095,0
34.20,78.00,859,4095,0
34.20,78.00,869,4095,0
34.20,78.00,863,4095,0
34.20,78.00,833,4095,0
34.20,78.00,864,4095,0
34.20,78.00,866,4095,0
34.20,78.00,862,4095,0
34.20,78.00,829,4095,0
34.20,78.00,859,4095,0
34.20,80.00,950,4095,0
34.20,80.00,950,4095,0
34.20,80.00,947,4095,0
34.20,81.00,898,4095,0
34.20,81.00,943,4095,0
34.20,81.00,943,4095,0
34.20,81.00,943,4095,0
34.20,81.00,886,4095,0
34.20,81.00,939,4095,0
32.80,79.00,757,4095,0
32.80,79.00,786,4095,0
32.80,79.00,743,4095,0
32.80,79.00,807,4095,0
32.80,79.00,818,4095,0
32.80,79.00,831,4095,0
32.80,79.00,791,4095,0
32.80,79.00,847,4095,0
32.80,79.00,851,4095,0
32.80,79.00,863,4095,0
32.80,79.00,817,4095,0
32.80,79.00,879,4095,0
32.80,79.00,880,4095,0
25.80,53.00,411,4095,0
25.80,53.00,432,4095,0
25.80,53.00,443,4095,0
25.80,53.00,464,4095,0
25.80,53.00,438,4095,0
25.80,53.00,501,4095,0
25.80,53.00,528,4095,0
25.80,53.00,551,4095,0
25.80,53.00,528,4095,0
25.80,53.00,602,4095,0
25.80,53.00,605,4095,0
25.80,53.00,620,4095,0
25.90,53.00,592,4095,0
25.90,53.00,641,4095,0
25.90,53.00,651,4095,0
25.90,53.00,666,4095,0
26.20,53.00,620,4095,0
26.20,53.00,682,4095,0
26.20,53.00,688,4095,0
26.20,53.00,702,4095,0
26.20,53.00,650,4095,0
26.20,53.00,704,4095,0
26.20,53.00,703,4095,0
26.20,53.00,711,4095,0
26.20,53.00,679,4095,0
26.20,53.00,721,4095,0
26.20,53.00,716,4095,0
26.20,53.00,719,4095,0
26.20,53.00,675,4095,0
26.20,53.00,715,4095,0
26.20,53.00,688,4095,0
26.20,53.00,695,4095,0
26.20,53.00,688,4095,0
26.20,53.00,646,4095,0
26.20,53.00,689,4095,0
26.20,53.00,688,4095,0
26.20,53.00,683,4095,0
26.20,52.00,639,4095,0
26.20,52.00,686,4095,0
26.20,52.00,691,4095,0
34.20,79.00,878,4095,0
34.20,78.00,867,4095,0
34.20,78.00,878,4095,0
34.20,78.00,880,4095,0
33.80,78.00,987,4095,0
33.80,78.00,990,4095,0
33.80,78.00,859,4095,0
33.80,78.00,923,4095,0
33.80,78.00,929,4095,0
33.80,78.00,934,4095,0
33.80,78.00,889,4095,0
33.80,78.00,890,4095,0
33.80,78.00,880,4095,0
33.80,78.00,880,4095,0
26.70,52.00,731,4095,0
26.70,52.00,779,4095,0
26.70,52.00,767,4095,0
26.70,52.00,731,4095,0
26.70,52.00,784,4095,0
26.70,52.00,726,4095,0
33.80,78.00,973,4095,0
33.80,78.00,944,4095,0
33.80,78.00,973,4095,0
33.80,78.00,944,4095,0
34.70,78.00,1873,4095,0
34.70,78.00,1725,4095,0
34.70,78.00,1674,4095,0
34.70,78.00,1590,4095,0
34.70,78.00,1650,4095,0
34.70,78.00,1591,4095,0
34.70,78.00,1535,4095,0
34.70,78.00,1461,4095,0
34.70,78.00,1386,4095,0
34.70,78.00,1650,4095,0
34.70,78.00,1591,4095,0
34.70,78.00,1535,4095,0
34.70,78.00,1461,4095,0
34.70,78.00,1386,4095,0
34.70,78.00,1296,4095,0
34.70,78.00,1277,4095,0
34.70,78.00,1236,4095,0
34.70,78.00,1199,4095,0
34.70,78.00,1133,4095,0
34.70,78.00,1136,4095,0
26.70,52.00,2003,4095,1
26.70,52.00,1819,4095,0
26.70,52.00,1631,4095,0
26.70,52.00,1570,4095,0
26.70,52.00,1483,4095,0
26.70,52.00,1402,4095,0
26.70,52.00,1294,4095,0
26.70,52.00,1278,4095,0
26.70,52.00,1221,4095,0
26.70,52.00,1175,4095,0
26.70,52.00,1088,4095,0
26.70,52.00,1104,4095,0
26.70,52.00,1077,4095,0
26.70,52.00,1041,4095,0
26.20,53.00,1403,4095,0
26.20,53.00,1360,4095,0
26.20,53.00,1299,4095,0
26.20,53.00,1237,4095,0
26.30,53.00,1146,4095,0
26.30,53.00,1151,4095,0
26.30,53.00,1118,4095,0
26.30,53.00,1087,4095,0
26.70,52.00,1264,4095,0
26.70,52.00,1962,4095,0
26.70,52.00,2371,4095,1
26.20,52.00,1262,4095,0
26.20,52.00,2015,4095,1
26.20,52.00,2123,4095,1
26.20,52.00,2064,4095,1
26.20,52.00,2238,4095,1
26.20,52.00,2320,4095,1
26.20,52.00,2343,4095,1
26.20,52.00,2222,4095,1
26.20,52.00,2186,4095,1
29.90,48.00,1520,4095,0
29.90,48.00,1515,4095,0
29.90,48.00,1499,4095,0
30.00,47.00,1444,4095,0
30.00,47.00,1497,4095,0
30.00,47.00,1488,4095,0
30.00,47.00,1502,4095,0
30.20,47.00,1435,4095,0
30.20,47.00,1475,4095,0
